English,Sense,Constraints,Globasa,Glosa,Lidepla
"to, at","in the direction of, and arriving at | to::used to indicate the indirect object | in the direction of","Syllables:1; Skip:a (would sound very similar to ‘ya’ after vowels); Skip:tas (artificial candidate, derived through shortening)","tas, cel","a, ad",a
"about, concerning, regarding, of","concerning | about::concerned with, engaged in | regarding | concerning | introducing topic or subject matter",,tem,de,om
"whole, entire, full, total","entire | whole | total, entire | entire",,"total, kompleto","holo, toto","integre, ol, tote"
"wholly, wholely, entirely, fully, completely, quite, altogether",– | – | to the full extent | in a full manner | to the fullest extent or degree | to the greatest extent; completely | without exception; wholly; completely,Compound:tote-ge,,,
well (adverb),accurately; competently | to a significant degree | completely; fully,Compound:bon-ge,,,
"-ling, -y, -ie, -ette, -let (diminutive: smaller or weaker version)",Diminutive | forming diminutive nouns | – | – | –,Set class:prefix,lil-,pusi,-ki
hill,elevated location,Compound:ki-monti (as in Globasa),liljabal (lil+jabal),"buno, kolina, montikula",kolina
"therefore, hence","for that or this reason | therefore::consequently; by consequence — see also consequently | as a result, therefore",Compound:kaus-ge (similar to Glosa),fe folo,"ka-co, alora",also
from,"with the source or provenance of or at | with the origin, starting point or initial reference of or at | with the separation, exclusion or differentiation of",,"of, xorfe (xor+fe)","ab, de, ex",fon
yes,"word used to indicate agreement or acceptance | expression of pleasure, joy or great excitement — see also yay",,si,ja,ya
no (answer or exclamation),used to show disagreement or negation,Merge:no,,,
no (determiner),not any,Skip:la (not ideal since it could easily be confused with an article or so),nil,"nuli, zero, ze",nul
nothing,not any thing,Compound:nai-it,nilto (nil+to),"nuli, nuli-ra, zero, ze-ra","nixa, nihil"
love,have a strong affection for | care about; will good for | be strongly inclined towards doing | strong affection,"Skip:amo (seems to be chiefly a noun, and the related candidates are not generally the most typical ones in their languages)","lubi, exku","amo, amoro, filo",lubi
"ask, question, inquire","request an answer | ask questions of | question::sentence, phrase or word | to ask about something",,swal,qestio,kwesti
"shadow, shade",dark image projected onto a surface | darkness where light is blocked,,saye,"umbra, skia",shada
"one, you (generic pronoun: an unspecified person or people in general)","indefinite personal pronoun; any person, people in general | one","Choose: on (this is the only related candidate to Lidepla’s ‘oni’, which would otherwise be selected, and it’s one syllable shorter)",ren,pe,oni
"think, thought, ponder","communicate to oneself in one’s mind | think::to ponder, to go over in one's head | representation created in the mind | thought::process | to think deeply",,fikir,pensi,dumi
train (series of connected vehicles),line of connected cars or carriages,,tren,trena,tren
