English,Sense,Constraints,Globasa,Glosa,Lidepla
mother,"female (human) who parents a child, gives birth to a baby, or is pregnant",Skip:mama (informal in most of the source languages),matre,matri,mata
blood,vital liquid flowing in human and animal bodies,,damu,hema,hema
bear,large mammal of family Ursidae,,baru,"ursu, arkti",berna
liver,organ of the body,,ganzo,hepa,hepata
cat,domestic species,,myaw,"feli, ailuro, katus",kota
snake,legless reptile,,sarpen,"serpenti, angui, ofi",serpenta
mountain,large mass of earth and rock,,jabal,"monti, oro",monta
wind,movement of air,,vento,"venti, anemo",feng
hand,part of the fore limb,,hanta,"manu, keiro",handa
"corpse, cadaver, carcass, (dead) body",dead body | a dead body | body of a dead animal | –,,morjismu,"morta soma, lazaro, ptoma",lash
smoke,visible particles and vapour given off by burning material,,dudan,"fumi, kapno",fum
egg,"approximately spherical or ellipsoidal body produced by birds, insects, reptiles, and other animals, housing the embryo within a membrane or shell during its development",,ovo,ova,ovo
lake,body of water,,hosu,"laku, limno ",lak
star,"a celestial body appearing as a point of light on the clear night sky, whose position is relatively fixed with respect to each other",,estare,"astro, sidero",stara
blue,"blue-coloured — see also dark blue, light blue",,blue,"blu, ciano, azur ",blu
